id,tripname,area,longoftrip,difficulty,water,shadow,description
11,סכרים עתיקים בנחל ממשית,דרום,4 קמ,בינוני,לא,לא,"משער הכניסה לאתר ממשית, פונים ימינה מרחבת החנייה והולכים מערבה. מקיפים את האתר ליד הגדר ולפי הסימון, ואז פונים עם השביל שמאלה לכיוון דרום. יורדים בזהירות ומגיעים לתצפית אל הסכרים הקדומים בערןץ של נחל ממשית. לאחר התצפית, יורדים אל אפיק הנחל ואל הסכר התחתון. לרגלי הסכר יש צמחייה רבה, ובאביב אפשר להנות כאן מפריחה המלווה את המטיילים גם בהמשך המסלול. ממשיכים ללכת בשביל המסומן המטפס על סלעי הגדה השמאלית (הגדה הצפונית) ויורד בחזרה לערוץ. עוברים ליד גב מים – שמתמלא בחורף רק לאחר זרימה של מי שטפונות בנחל או לאחר גשם משמעותי. ממשיכים לטייל בערוץ בין עצי אשל. מאחורי העצים יש מפולות סלעים. מדי פעם, עוברים בקטעי אפיק חולי.
"
12,נחל גשרון עליון,דרום,3 קמ,בינוני,לא,לא,"נחל גשרון עליון הינו מסלול מעגלי בן כשלושה קילומטרים שבו תוכלו ליהנות משעתיים של הליכה בערוץ נחל  המשובץ בסלעי אבן חול אדמדמה, טיפוס קצר לתצפית מצוקי גשרון- תצפית מרהיבה המשקיפה על חצי האי סיני, וחזרה לרכב על תוואי שביל ישראל, לאורך שפת נחל יואש."
13,טיול חולות בשמורת הטבע ניצנים,מרכז,5 קמ,קל,לא,כן,"לאחר שמחנים במגרש החנייה של בית ספר שדה שקמים, מגיע הרגע להתפעל מהמבנה המרכזי כאן, המכונה ""הארמון"". היה זה ביתו של אפנדי אמיד בתחילת המאה העשרים. באזור זה הוקם ב-1943 קיבוץ ניצנים, שנפל בקרבות מלחמת העצמאות בחודש יוני 1948, לאחר מתקפה קשה מצד הצבא המצרי, שהסתיימה בכניעה שנחשבה במשך שנים רבות שנויה במחלוקת. הבית הדו-קומתי הוא השריד הכמעט יחיד מהקיבוץ שישב כאן, ועם השנים עבר למיקומו הנוכחי. ה""ארמון"" משמש את החברה להגנת הטבע, ובמקום מצוי אתר הנצחה המספר את סיפור הקרב. כדאי לשוטט בין עמדות הקרב ושלטי ההסבר המתארים את סיפור המקום. בנוסף, מצויה כאן אנדרטת ""האישה הלוחמת"", שהוקמה לזכרן של הנשים שנלחמו באותו קרב עקוב מדם, כמו גם במלחמות ישראל."
14,נחל זוויתן תחתי,צפון,6 קמ,קשה,כן,כן,"קניונים עמוקים חורצים את מרכז רמת הגולן הסלעית ולאורכם זורמים מפלי מים אל בריכות עמוקות. מסלול הטיול אל נחל זוויתן תחתון, המתאים למיטיבי לכת וליודעי שחייה בלבד, עובר באחד מהיפים בנחלי הגולן – נחל זוויתן, ובו נפגוש מפלים קטנים ובריכות עמוקות וצלולות שבהן מים צוננים, כמו גם מצוקים מרשימים וצמחיית נחלים שופעת ולסיום – מעיין זעיר שבו מסך מים קסום, בו תוכלו להתענג על מקלחת מרעננת במיוחד!
"
15,שמורת טבע מצוק העתקים - ראש צוקים,דרום,2 קמ,קשה,כן,לא,"שביל טיול זה הוא שביל הטיול הראשון שסומן בארץ ישראל. זה קרה בסוף שנת 1947. משלחת סימון ראשונה מסוגה, בראשות הלל בירגר, יצאה למדבר יהודה. במשלחת היו תלמידי סמינר הקיבוצים, סיירי פלמ”ח ואנשי בית הערבה. חבריה סימנו את השביל לראש צוקים, סימון שהיווה ציון דרך לטיילים שדרשו ביופייה של הארץ וביפי המדבר. היום סימון השביל שחור, והוא יעלה אתכם מהכניסה לשמורת טבע עינות צוקים (עין פשחה) עד לראש צוקים, הנחשב לאחד ממצפורי הנוף היפים בארץ.
"
16,נחל גוב,דרום,5 קמ,קשה,לא,לא,"מעלה העקרבים, נחל גוב- למיטיבי לכת כולל שחיה בגבים באביב, שמורת עין צין ועין עקרבים. נחל גוב הינה שמורת טבע ומסלול למיטיבי לכת ואוהבי שחיה בגבים, משך הטיול כ-4 שעות ולאחר השיטפונות הגבים מתמלאים במים וזו חוויה נהדרת לרדת בסולמות ולשחות, כמובן שאין לקחת כל ציוד שניזוק ממים כמו מצלמות וכו''. לאוהבי לכת יש שביל עוקף הכולל תצפיות יפות, לסיום נסיעה קצרה למסלול המעיינות של נחל צין למשך כשעה."
17,נחל פצאל ויובליו,מרכז,7 קמ,קשה,כן,לא,"נחל פצאל הגולש אל בקעת הירדן ממרומי השומרון המזרחי אינו נחל מטוייל ומוכר לכולם וזהו קסמו המיוחד. הנחל המתחתר במורדותיהם המזרחיים של השומרון מעניק למטייל בו אפשרות להכיר ולאהוב חבל ארץ לא מוכר זה. בנחל וביובליו הגדולים נובעים כמה מעיינות יפיפיים היוצרים פינות חמד מופלאות. מטעמי בטחון יש לטייל בנחל בקבוצה עם נשק. אורך המסלול הוא כ 10 ק""מ והוא אינו מיועד למשפחות (ההליכה מאתגרת מעט וללא נגיעה בשבילים מסומנים)."
18,מעיינות גבתון תל גזר,מרכז,3 קמ,קל,כן,כן,"הטיול כולל 3 מסלולים קצרים, שביניהם נסיעה ברכב. הוא עובר לאורך קטע מהשוליים המזרחיים של מישור החוף הדרומי, לא הרחק מגבעות השפלה הנמוכה. המסלול כולל שכשוך רגלים במי מעיינות גבתון, ומתאים במיוחד לאלו שנהנים גם ממעט היסטוריה וארכיאולוגיה. משך המסלול כחצי יום עד יום, הוא מתאים לכל המשפחה וניתן לטייל גם רק בחלקים ממנו. המסלול מתאים לכל עונות השנה, אך מומלץ פחות בחורף, שכן אז דרכי העפר עשויות להיות בלתי עבירות."
19,טיול בתל גזר,מרכז,7 קמ,קל,לא,לא,"מסלול מיוחד וקליל עם תצפיות משגעות מכיוון גבעות אזור המרכז. הטיול בתל גזר יכול להיות רומנטי ונינוח או ארוך ואתגרי ומתאים לשעות היום בחורף ושעות הלילה בקיץ. במסלול פוגשים מעיין קטן ומסיימים בכפר בן נון, צופים בנופים הנגלים מול העין, כשאורות העיר נדלקים ממול. מסלול המתאים כל השנה, כשבכל עונה יתגלה בו קסם אחר"
20,נחל צאלים ובריכת צפירה,דרום,10 קמ,קשה,לא,כן,"מדבר יהודה טומן בחובו מספר מסלולים קסומים, ונחל צאלים הוא אחד היפים שבהם: נוף מדברי מרהיב, מעיינות נסתרים ופריחה אביבית - כל אלו ועוד ימתינו למיטיבי הלכת שיבחרו באחד ממסלולי הטיול שהנחל מציע"
21,נחל חצץ ופריחת הנרקיסים,דרום,8 קמ,בינוני,כן,כן,"מדי שנה בחודשים דצמבר עד פברואר פורחים בערוץ נחל חצץ נרקיסים יפהפיים ומוסיפים צבע וניחוחות לערוץ המדברי. בזכות משטחי הסלע בערוץ יש בקטע זה יותר מים מהממוצע באזור, והתנאים האלו מספיקים לנרקיס. אורכו של המסלול, שאינו מעגלי, הוא כ-3 קילומטרים לכל כיוון. משכו כחצי יום, אך הוא אינו קשה פיזית"
22,נחל תבור,צפון,8 קמ,בינוני,כן,כן,"המסלול בנחל תבור הוא אחד מהיפים שבגליל, במיוחד בימי סוף החורף והאביב, אז הנחל זורם ואלפי פרחים מעטרים את הדרך. בקיץ המסלול אינו ירוק ופחות מרשים. הטיול ברמת קושי בינונית, וכולל עלייה לא קלה בסופו (בכל כיוון בו תטיילו), ולכן מתאים רק לילדים מיטבי לכת או להורים עם מנשאים."
23,יער אודם,צפון,2 קמ,קל,לא,כן,"מגיעים למסעדה (בכביש 99 מאזור הבניאס או בכביש 98 מאזור דרום רמת הגולן). בצומת יער אודם [1] אשר בכניסה הדרומית למסעדה, נפנה מערבה לכביש 978 לעבר הישוב אודם. לאחר כ-3 ק”מ נסיעה, וכ-200 מטרים לפני הפניה לישוב אודם, נראה בצד ימין (מערב) שביל היוצא מהכביש המסומן בסימון שבילים שחור [2]. נחנה את הרכב בצד הכביש ונתחיל ללכת עם השביל השחור."
24,נחל ג'ילבון,צפון,3 קמ,בינוני,כן,לא,"את החום החדגוני של הקיץ בגולן שוברים מימיו הצלולים של נחל הג'ילבון, שזורמים במורד המפלים בדרכם לעמק החולה. ביקור רטוב במפל דבורה ובמפל הג'ילבון, יחד עם סיור היסטורי קצר בבית כנסת העתיק בכפר דבורה, מרכיבים את אחד המסלולים המומלצים לקיץ. אל תשכחו לקחת בגד ים!"
25,נחל שרך ונחל בצת,צפון,8 קמ,בינוני,לא,כן,"הנחלים שרך ובצת היפהפיים משרים אווירה של קסם, והם יובילו אתכם בתוכה לטיול קליל שכולל גם ביקור במעיינות נובעים ובמערת נטיפים מרתקת. המסלול, שאינו מעגלי ואורכו כ-5 ק""מ, מתאים לכל המשפחה, והוא יגלה לכם את קסמו של הגליל המערבי"
26,נחל אלכסנדר והצבים הרכים,מרכז,3 קמ,קל,כן,כן,"ניתן להגיע למסלול מכביש 2 או מכביש 4. המסלול מתחיל בגשר הצבים (דרכי ההגעה מופיעות בהמשך), שם משאירים רכב אחד, ומסתיים בשפך נחל אלכסנדר לים, בסמוך לנקודה שבה כביש 2 חוצה על גשר את הנחל, שם משאירים רכב שני. אפשר להגיע למסלול גם ברכב אחד, ולטייל בו הלוך-חזור."
27,פארק בריטניה: מסלול הבורות והבארות,מרכז,3 קמ,בינוני,לא,כן,"שטח פארק בריטניה הוא ארבעים אלף דונם ומכיל מסלולי טיול ונופש פעיל רבים. המסלול שלנו מתחיל בשביל שתחילתו בשער ברזל קטן ולידו שלט מאיר עיניים של קק""ל, שמסמן את תחילת המסלול. לאחר כמה מטרים נוכל לראות בור מים חפור בקרקע. באזור שפלת יהודה כל חפירה בקרקע דורשת להתגבר על שכבה בעומק כמה מטרים, המכונה נארי – שכבת קרטון שהתקשתה בעקבות המסת מלחים ושמש. לאחר שעוברים את השכבה הזו, מגיעים לשכבת קרטון רכה לחציבה. ניתן לזהות כי מדובר בבור מים לפי הטיח שמצפה את פנים הבור (גם אם לעיתים הוא מתקלף). במקומות שבהם אין טיח, לא מדובר ככל הנראה בבור מים אלא בבור ששימש למטרות אחרות."
28,שמורת עין גדי: נחל דוד ונחל ערוגות,דרום,8 קמ,בינוני,כן,כן," כדי לבקר בשמורה יש להזמין מקום מראש באתר רשות הטבע והגנים. בשמורה ארבעה מתחמים – שביל צפית וגב חלון, מתחם נחל דוד, מתחם נחל ערוגות ומתחם עתיקות עין גדי. יש לתאם ביקור נפרד למתחם נחל דוד ולמתחם נחל ערוגות. כרטיס הכניסה לכל מתחם מקנה כניסה לשלושת המתחמים האחרים באותו יום. אין צורך לתאם ביקור מראש למתחם עתיקות עין גדי, רק לרכוש כרטיס בכניסה למתחם זה."
29,שמורת יקום,מרכז,3 קמ,קל,לא,כן,"את הטיול אפשר לעשות הן באופן מעגלי ולחזור לרכב והן לעשות מסלול ארוך יותר אשר מגיע עד לחוף הים אשר בסמוך לוינגייט. לשם כך יש להשאיר רכב נוסף בחניון אשר נמצא בכניסה למכון ויינגייט - נוסעים צפונה על כביש -2 , עולים במחלף פולג ועושים פרסה – יורדים דרומה בחזרה לעבר תל אביב. בכניסה למכון ויינגייט פונים ימינה וחונים במגרש החניה הפתוח לכל."
30,עין מטע חרבת חנות ושביל הקיסר,מרכז,5 קמ,בינוני,לא,כן,"בקיץ החם מומלץ לשהות במקומות מוצלים וקרירים והפעם מסלול המשלב ביקור בשני מעיינות והליכה בשביל הקיסר, שביל יפהפה שיורד לעבר עמק האלה. הטיול מתאים לכל עונות השנה. הוא אינו קשה ומתאים לכולם. המסלול המתואר מתאים ליום שלם אך ניתן לוותר על חלקים ממנו. יש להביא פנס"
31,טיול בראש פינה: אטרקציות ואתרים שכדאי לראות במושבה,צפון,4 קמ,קל,לא,כן,"אין ספק שאחת מגולות הכותרת של הגליל העליון היא המושבה הוותיקה ראש פינה, שמציעה המון פינוקים גליליים למי שמגיע לטיול באזור הקסום הזה - בואו לראות עצי זית, בתים כפריים ולהירגע עם ציוץ ציפורים באחת המושבות הכי אהובות בארץ"
32,הר ארבל: מסלולים לטיול,צפון,10 קמ,קשה,לא,לא,"בהר ארבל מעל ימת הכנרת תמצאו שתי נקודות היסטוריות מרשימות ויפות נמצאות אחת בסמוך לשנייה. בראשונה התרחש בתוך לוע הר געש כבוי קרב אדיר ומכריע בין הצלבנים לבין צבאו של צלאח א-דין. בשנייה המצודה בה התרחש ליבו של המרד בהורדוס במצוק מרהיב. ואכן, קשה לדמות איך רבים נלחמו אלו באלו במקומות בהם הנוף משכיח כמעט כל דבר אחר. לאחר שנה וחצי שהמצודה הייתה סגורה , היא נפתחה למבקרים, עם שדרוג חדש ומשמעותי"
33,תל יודפת והר עצמון,צפון,6 קמ,בינוני,לא,כן,"בגליל התחתון שוכנות כמה מפינות החמד הקסומות בארץ. בטיול שלפנינו נפגוש שתיים מהיפות והשורשיות שבהן: היסטוריה סוערת מתקופת המרד הגדול תקום לנגד עינינו בתל יודפת, וטיפוס ממריץ נשימה במעמקי צמחייה גלילית יוביל אותנו לתצפית מדהימה מפסגת הר עצמון, כאשר מהים התיכון לים כנרת תיפרש לפנינו הארץ. בהמשך נגיע למעיינות שאגדה קשורה בהם, וכל אלו במסלול מעגלי של כ-6 ק""מ, שמשכו 4-5 שעות"
34,גבעת התתורמוסים - תל שוכה,מרכז,2 קמ,בינוני,לא,כן,"כביש 38 יוצא דרומה משער הגיא לעבר בית גוברין. בדרכו הוא עובר ליד בית שמש ומושבי השפלה. כמה קילומטרים דרומית לבית שמש נגיע לצומת האלה, שבצידה נמצאת תחנת דלק פז. בצומת זה פונים שמאלה (מזרחה) לעבר כביש  375 וממשיכים בכביש כ-2 ק""מ, עד לפניה ימינה בסימון שבילים שחור."
35,מסעד לבארי: פריחה בצפון הנגב,דרום,7 קמ,קל,לא,כן,"נוסעים דרומה בכביש החוף (כביש 4). עוברים את אשדוד ואשקלון וממשיכים עד צומת יד מרדכי, שליד קיבוץ יד מרדכי. בצומת פונים שמאלה וממשיכים עם כביש 34 עד צומת גבים. בצומת פונים מערבה (ימינה) לכביש 232 וממשיכים איתו. סמוך לקיבוץ מפלסים נראה פנייה ימינה לבית שביתת הנשק ולתצפית על שם אל""מ נביה מרעי. נמשיך בעקבות השילוט לעבר התצפית."
